number_image,number_layer,number_neurons,average,range,computation_time
1450,1,32,0.8877906976744188,0.19767441860465118,12.236755609512329
1450,1,64,0.8837209302325582,0.15116279069767447,12.30446743965149
1450,1,128,0.8569767441860467,0.2441860465116279,12.572501420974731
1450,2,96,0.9209302325581398,0.15116279069767435,12.49905252456665
1450,2,192,0.9482558139534886,0.12790697674418605,12.83369493484497
1450,3,224,0.9726744186046513,0.09302325581395354,13.336170196533203
1500,1,32,0.8729166666666666,0.25,13.855610609054565
1500,1,64,0.8489583333333333,0.19791666666666674,14.51245641708374
1500,1,128,0.8854166666666667,0.17708333333333337,14.262091398239136
1500,2,96,0.9494791666666664,0.14583333333333337,14.556080102920532
1500,2,192,0.9557291666666667,0.10416666666666663,14.60473084449768
1500,3,224,0.990625,0.03125,14.678128719329834
